Date,Bedtime,Wake Up Time,Amount of Sleep
2021.12.29,02:00,09:20,7h20m
2021.12.28,01:00,09:30,8h
2021.12.24,00:30,08:30,8h
2021.12.23,02:30,09:00,6h30m
2021.12.22,01:00,08:00,7h
2021.12.21,01:00,09:00,8h
2021.12.20,00:00,08:00,8h
2021.12.19,03:30,11:00,7h30m
2021.12.18,03:00,09:00,6h
2021.12.17,01:30,08:30,7h
2021.12.16,01:00,10:00,9h
2021.12.15,01:00,08:40,7h40m
2021.12.14,01:00,08:20,7h20m
2021.12.13,01:00,08:00,7h
2021.12.12,00:30,10:30,10h
2021.12.11,01:30,09:00,7h30m
2021.12.10,01:30,08:20,6h50m
2021.12.09,01:30,08:30,7h
2021.12.08,00:50,08:50,8h
2021.12.07,00:40,08:19,8h50m
2021.12.06,01:30,07:50,6h20m
2021.12.05,00:20,07:40,7h20m
2021.12.04,00:20,07:40,7h20m
2021.12.03,00:30,08:00,7h30m
2021.12.02,00:30,08:50,8h20m
2021.12.01,23:30,07:30,8h
